Ayuda Transporte	Cuotas Sindicales	Subsidios Incapacidad 	Becas Trabajadores e Hijos	Otros Ingresos por Salarios	Pagos de Otros Empleadores	"Jubilaciones, Pensiones o Retiro"	Otros Pagos por Separaci�n	Total
0	0	0	0	256	0	0	0	"2,829.00"
0	0	0	0	"8,503.00"	0	0	0	"22,779.00"
0	0	0	0	"26,986.00"	0	0	0	"54,430.00"
0	0	0	0	64	0	0	0	930
0	0	0	0	"2,480.00"	0	0	0	"7,089.00"
0	0	0	0	"41,123.00"	0	0	0	"79,703.00"
0	0	0	0	"2,030.00"	0	0	0	"7,893.00"
0	0	0	0	"1,014.00"	0	0	0	"4,296.00"
0	0	0	0	0	0	0	0	0
0	0	0	0	"1,152.00"	0	0	0	"2,919.00"
0	0	0	0	343	0	0	0	"3,178.00"
0	0	0	0	"2,492.00"	0	0	0	"7,735.00"
0	0	0	0	"77,819.00"	0	0	0	"121,560.00"
0	0	0	0	"164,262.00"	0	0	0	"315,341.00"
